Frequency (Hz),Trace 1 (dBV),Phase (deg),Trace 2 (dBV),Phase (deg)
112.3046875,-80.41177985359795,-124.8662289206294,-88.45421686265823,155.3734800381416
112.79296875,-79.26919551115189,28.27686065434799,-88.84844069639696,-48.64438877843391
113.28125,-77.99894082861952,-170.97396918081,-91.43513032032436,115.2379619384081
113.76953125,-76.44027185011825,1.161759528073693,-94.95717764859563,-105.8761055992533
114.2578125,-76.88273877323496,-175.8816745258441,-94.39036160172347,17.93103166910566
114.74609375,-80.44566113299646,13.03654639114502,-92.02361274126075,133.1359751991057
115.234375,-81.30064275198178,-147.1065457400815,-87.1862128475195,-62.81651590479951
115.72265625,-82.43328533768413,43.14582064807434,-85.25743594856939,124.2639347221394
116.2109375,-89.43348245478921,-67.22242100547267,-86.43243945249053,-50.28234658137342
116.69921875,-83.11975188013938,136.4570667420095,-87.86016774084884,155.4366168535219
117.1875,-82.00908033399944,-50.95061692884427,-85.34002349027699,8.029102995971812
117.67578125,-84.26856794413176,155.3024265993065,-83.55382373891386,-146.6057085623586
118.1640625,-90.60369254826169,6.855623726288953,-83.6955846855134,57.2364898949392
118.65234375,-87.42995739633164,-36.36950362770641,-84.89650278547479,-91.16714099931328
119.140625,-80.54871667166242,136.9845520005299,-84.64754001901866,120.6255118932139
119.62890625,-80.2188008729014,-53.4010977347982,-83.57768701651227,-31.11805042320579
120.1171875,-82.38565454186934,121.5515961268784,-82.84189652542958,172.5719918876841
120.60546875,-89.64597466743989,-131.4512912537602,-83.75609184867032,14.26902233769702
121.09375,-78.67646045280593,-33.8363653776495,-84.66942443117142,-154.1336510923702
121.58203125,-75.11770702660844,126.16340823718,-85.52242844139491,25.36264384529921
122.0703125,-74.89951509973335,-60.30069199130909,-87.59097622993814,-145.5969531779533
122.55859375,-77.6190433004772,108.5673814466555,-89.54724506801841,74.48613124802105
123.046875,-84.20681582327674,-136.1693927014335,-86.7883636838812,-65.95189881677931
123.53515625,-80.36924801796785,-34.87510797483811,-84.71215757814257,120.6872831925671
124.0234375,-78.34418534593917,119.8289569234401,-85.10051776609019,-66.96395019802816
124.51171875,-79.67368176647241,-83.17759130101898,-90.18200809898113,111.6304708091861
125,-79.10510770510085,67.51297727125825,-102.1650502217681,-99.17478961113761
125.48828125,-76.72082277725625,-124.7898941559071,-99.65531321615443,38.10829871495225
125.9765625,-76.07927122130184,55.48599796338092,-99.76150233948783,-22.10191145157567
126.46484375,-77.57471008827524,-109.3392022061139,-90.59318297304195,177.7605328681286
126.953125,-80.55282832805078,79.69666791536766,-89.23451326107994,-3.879175282693835
127.44140625,-83.48275860609922,-110.4488422458357,-90.68492431230864,-179.339886657308
127.9296875,-83.7131557459272,52.45752773157548,-101.0962111965737,57.66760484276948
128.41796875,-79.80316802007442,-160.1752818361156,-90.60660123113975,-17.75672005781566
128.90625,-75.89878677472173,13.98595735271225,-86.25232487779265,178.1418204605818
129.39453125,-77.32090321741444,-167.1983254732621,-84.24352157534787,9.855095694044532
129.8828125,-82.80428515276947,-9.618709322536075,-82.37232756885493,-164.0509866927306
130.37109375,-86.32496520286922,146.9325027804506,-82.04574465948193,9.336473554007121
130.859375,-92.23942052950719,-51.74107047988233,-82.97992321682914,179.8666466644572
131.34765625,-89.62656042051428,174.7298720261911,-82.93039545500321,-0.3152590607051514
131.8359375,-79.21405409338325,10.11628469760068,-84.085011766208,178.3011040038319
132.32421875,-77.16712029089366,-175.8651697647096,-89.21956118251067,0.4826435482079507
132.8125,-77.7581873774825,-16.66028718192189,-90.60891045501791,-163.0970942775717
133.30078125,-76.04280265806607,144.2142966942545,-87.99127298280197,10.36284445513956
133.7890625,-75.20118430804196,-52.10828727493323,-88.55994291080528,-177.0421323917456
134.27734375,-75.08080517563573,112.0058948192648,-92.86384790137049,11.0432386596394
134.765625,-75.61855856863413,-73.17052241569625,-105.2134498377553,-125.6970485426447
135.25390625,-77.41467810434527,91.48964056863495,-95.4443646198792,177.9607116512679
135.7421875,-77.95468966542975,-119.821371006036,-88.21683355737363,-1.486876045980346
136.23046875,-76.18086525799757,44.82775216168667,-85.30330342948945,-165.3591073692668
136.71875,-74.87387942676324,-136.6554461226619,-82.83576277357342,43.95677358857113
137.20703125,-75.02760389641917,50.81212988484828,-82.71567299447675,-121.6509752155951
137.6953125,-74.58868721792734,-122.4265817969096,-86.64367739610722,66.84798795677328
138.18359375,-74.13334062718603,54.05007407295265,-88.59737673484383,-86.10029441685566
138.671875,-75.22355835776803,-120.0668877261236,-87.83151510095288,131.1409578100594
139.16015625,-76.00618681856126,64.508160856461,-89.23036921277144,-12.94565819100551
139.6484375,-77.06141818128378,-129.4849786580149,-97.07594524714304,171.2127747112107
140.13671875,-81.37996812222408,33.02653728362093,-98.35319611854351,-139.8212715499763
140.625,-82.4189022831556,166.9600365987198,-93.68208598337164,4.971814135806776
141.11328125,-78.20936230411975,-40.42748985011388,-93.23720915086443,151.4521012934391
141.6015625,-77.17373356879385,104.9828927486968,-94.110547866121,-74.85250462970615
142.08984375,-76.03398939622139,-119.0253402595258,-93.88128695354146,39.83989914319784
142.578125,-75.12886079319242,24.63601033020691,-94.43476206123307,152.0093222826463
143.06640625,-75.61318544757316,-176.1406119130252,-94.85033000854966,-87.04954882829033
143.5546875,-80.611365450075,-7.014801252457817,-95.69956375562708,32.95478264298602
144.04296875,-88.14333733311759,22.49940938980948,-90.2038929577572,173.6070906000632
