Frequency (Hz),Trace 1 (dBV),Phase (deg),Trace 2 (dBV),Phase (deg)
45.41015625,-93.67741743995916,-12.47608322309354,-86.31324449241876,156.3997983398927
45.8984375,-93.55835652483546,-148.7316930691962,-89.02328277400744,-1.549082284379499
46.38671875,-94.97903174900702,16.25082091287398,-92.52808303938062,-128.8187344975694
46.875,-95.90986970714488,174.3586795611673,-91.19890063432834,145.8309029863371
47.36328125,-94.94370721790867,31.88003253381508,-84.31148949236048,-6.983611910542961
47.8515625,-93.80674734797793,-131.3443347176282,-81.48760558921667,-179.9722412334898
48.33984375,-93.69995216417104,65.55913234076014,-79.66973629535872,9.188601051905014
48.828125,-90.6175403230971,-89.61594618641095,-79.67966800749828,-164.3740006025005
49.31640625,-88.41725782737747,107.0057376653683,-82.00862879666607,21.94222354466015
49.8046875,-88.05733162314573,-50.40845289909269,-84.99949414936721,-144.5427776335981
50.29296875,-86.55794845295998,157.3396097033768,-86.06886424483675,53.03967589774772
50.78125,-86.33233485254691,-8.547941011782953,-82.71494990451133,-121.7259336736896
51.26953125,-87.37284440862454,-174.4983032979065,-80.31225466018456,50.89095976968854
51.7578125,-87.27580136448003,9.438501625819255,-80.29031748477627,-138.0445620471849
52.24609375,-87.59993665091145,-174.3714906549214,-81.16921998702747,44.24905871611222
52.734375,-86.31818251680728,4.435841562007674,-85.83293998882995,-121.9008871970917
53.22265625,-84.9953517031576,-178.0320940171236,-88.95027651119526,148.4789827405309
53.7109375,-86.58713190854193,4.367844996183924,-82.79246046588726,-23.91342349357998
54.19921875,-90.46451305996632,-162.8099721380264,-81.83447364823334,142.038127366655
54.6875,-98.244083622085,6.821212825308097,-82.61659611398905,-54.88195378926135
55.17578125,-99.37146819383614,113.2221741974978,-82.16986854177304,95.01584010558226
55.6640625,-93.0854818591787,-58.47458649946756,-80.42947436171177,-101.3865816103362
56.15234375,-88.26102690988195,117.3728873138618,-79.23887116427032,76.37791860705883
56.640625,-86.10570964686548,-81.6147447894014,-78.14446690676294,-100.8407913229836
57.12890625,-84.91010646489767,80.80342075713926,-78.38236655647705,89.8984000555526
57.6171875,-84.78674887820472,-106.0380918200647,-79.61137454931283,-72.73273355956077
58.10546875,-84.58257411291471,76.69731384074247,-81.90051602630405,119.711511362991
58.59375,-85.22597781929451,-99.34902214740171,-88.7493085874749,-40.49922702996431
59.08203125,-88.54012208244343,87.58173316674335,-96.49972360801689,-156.2326931056495
59.5703125,-92.02713449138295,-102.1902542350149,-104.4160969205373,157.0436493312337
60.05859375,-93.32360086418539,22.04909848110292,-93.86263172010347,-10.7665757848449
60.546875,-93.06018465940082,135.8776731673534,-95.77719390132313,160.7563498347693
61.03515625,-93.07826896240753,-102.191944208698,-100.8748811383675,108.1258113252384
61.5234375,-92.80932833446707,25.22780469177572,-90.50946535605632,-22.86431830742803
62.01171875,-88.63537314896874,161.6705382503017,-85.93610438707319,174.5362884137762
62.5,-84.99912622107693,-45.96728494936099,-83.37420100712581,-2.002206780899952
62.98828125,-83.55718938419588,103.7469347976801,-82.0141094137218,-169.6393039182994
63.4765625,-82.34928390896792,-92.86533398555375,-81.22691264054205,29.54018105244883
63.96484375,-82.72330400396601,87.87712673094968,-81.47217566466807,-130.1017770369704
64.453125,-85.23834345337025,-98.17108835467893,-82.21818951192154,69.50293395207406
64.94140625,-90.96133201132579,59.46605026310748,-83.82320278596906,-95.32843364109911
65.4296875,-97.0595045463607,162.4673332230225,-87.08812053876601,115.353046168577
65.91796875,-89.50745325635565,-35.75272666914231,-88.59019022945141,-1.476050847083715
66.40625,-84.89588542029682,157.3018877235678,-87.07600599631833,-142.1625748650974
66.89453125,-83.56296280853748,-20.48090441859601,-87.4752977301155,37.95908548026068
67.3828125,-83.51749591976251,156.3664231795312,-87.80235741642682,-147.7796523278123
67.87109375,-82.93001574304051,-24.02621144126636,-90.74454552896937,26.36180882164672
68.359375,-82.94884543717791,161.1577156341982,-90.45282716034967,172.3248521356977
