Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
2630.267991895382,0.01901483747262164,-1.50278744389627,-177.5511662475235
2754.228703338167,0.0170939906471623,-1.622598068925218,171.7501606497646
2884.031503126605,0.01682062094914486,-1.796412271887427,160.0060365341059
3019.951720402017,0.01579858392749544,-2.052517719055087,147.0944172278186
3162.27766016838,0.01460113144735151,-2.440231814064369,132.9804568067274
3311.311214825911,0.01333025456519754,-3.018421817276931,117.7795422166353
3467.368504525317,0.01365997218806778,-3.840043903286501,101.7759557062457
3630.780547701015,0.01158448245891279,-4.938703853257849,85.45530324005271
3801.893963205612,0.01072812623465367,-6.310316742205051,69.41122683988741
3981.071705534974,0.009895554219206536,-7.914430107035592,54.12381560664846
4168.693834703354,0.008740725551466554,-9.683051746763994,39.9348766102832
4365.15832240166,0.008637416221848977,-11.55579706095319,26.93901407093773
4570.881896148752,0.007700071118959677,-13.46165531525558,15.16534629380741
4786.300923226383,0.006512857063421753,-15.37185161475572,4.526549824912365
5011.872336272725,0.006382838029050188,-17.24183470731274,-4.97586538246577
5248.074602497725,0.004514542335671083,-19.0752404828905,-13.43226996753053
5495.408738576246,0.00680605044972544,-20.83317047436471,-20.87020052772624
5754.399373371572,0.004984373348208541,-22.50052106258192,-27.42147045889601
6025.595860743577,0.004137044093553758,-24.09444963465313,-33.07093614474746
6309.573444801934,0.004204818023222235,-25.56948179008603,-37.73253232311179
6606.934480075958,0.004428526117629807,-26.92978606035879,-41.60171348604013
6918.309709189365,-0.003873883980955832,-28.18587254540384,-44.82873630626604
7244.359600749903,0.003463276595262769,-29.32343769693488,-47.3222599672763
7585.775750291837,0.004784062187543915,-30.35019392550878,-49.34060278490688
7943.282347242816,0.004026694664731437,-31.30976541635703,-50.81223157446227
8317.637711026713,0.002052401610070296,-32.12617617909051,-52.13801442222314
8709.635899560806,-0.001719751059932708,-32.8931399235018,-53.14388229181221
9120.1083935591,-0.003415752237313078,-33.54773806684351,-53.78368216473438
9549.925860214356,-0.002004093833735396,-34.13728718898027,-54.67192628816008
10000,0.000817213339380668,-34.66341205061273,-55.15110118864761
