Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB)
3968.502629920499,0.04696487316615454,-22.37640489150401
4117.304047197754,0.04764426926724011,-22.97671906497659
4271.684864024041,0.04797324326124482,-23.57061668421762
4431.854283375365,0.04694301459545114,-24.12475212839665
4598.02935242042,0.04919760817606359,-24.66031671123805
4770.435256643361,0.04937485585270376,-25.17889052503885
4949.305624994896,0.0506997423549601,-25.67538727693729
5134.882846485179,0.04565546102731039,-26.16126220326377
5327.418398647569,0.05177989604807692,-26.62820643066615
5527.173188318342,0.05169972452071611,-27.08047821526436
5734.417905194106,0.04449537843973623,-27.52842488352524
5949.43338864612,0.0534893978944419,-27.95989469439124
6172.511008288492,0.05470476109565803,-28.37535683199981
6403.95305881604,0.05524240925627238,-28.79494883826583
6644.07316964684,0.054908610706776,-29.19370136248562
6893.196729924544,0.05255992352091474,-29.59657514276781
7151.661329456443,0.05124115354870731,-29.99955383635209
7419.817216184776,0.05258489551578218,-30.38119461310043
7698.027770811161,0.05422170080909241,-30.77469167493405
7986.669999217424,0.05715853017918988,-31.14400091784061
8286.13504334997,0.06012656113925403,-31.52125352705144
8596.828711260147,0.06135573826434781,-31.88947834230088
8919.172027018747,0.06191192521321291,-32.24495924558797
9253.601801249888,0.06163607303020897,-32.63354326956419
9600.571223057459,0.05012841530574819,-32.99546658140142
9960.550474146125,0.06323792674361559,-33.31618488613989
10334.02736596923,0.06466435462591134,-33.66966694747199
10721.50800076699,0.06459945889770938,-34.02851541394498
11123.51745739056,0.06148775346321726,-34.36347268148108
11540.60050284166,0.06653399408813028,-34.71990736374164
11973.32233049176,0.06680441421365271,-35.04829561134174
12422.26932598115,0.06832726546714431,-35.36566401309057
12888.049861836,0.06938883935418927,-35.79177716339466
13371.29512187998,0.06243105966761929,-36.08347795062454
13872.65995655768,0.07068439518578942,-36.42755988129107
14392.82377032906,0.0556943787924933,-36.75838161278445
14932.49144233703,0.07225165367035341,-37.12590516626808
15492.39428159626,0.05698110715225798,-37.39021000512095
16073.29101799725,0.07327475226859886,-37.75709004691689
16675.9688304687,0.06885536649369998,-38.15357468839757
17301.24441369158,0.07386359682958343,-38.37797189113871
17949.96508481005,0.07532498500967949,-38.78919360727247
18623.00993163946,0.07672151936431797,-39.07371207319434
19321.29100392688,0.07120352968976383,-39.43068494914777
20045.75454927878,0.07029231591777345,-39.74983838298368
20797.38229543058,0.07728370650127116,-40.07695542216049
21577.1927805956,0.07673228657594408,-40.42140527285036
22386.24273369628,0.0638297516011874,-40.71902680319841
23225.62850634811,0.0802081091854876,-40.97382096488466
24096.48755853646,0.08207543383668928,-41.33869057255754
25000,0.07721141095585109,-41.66560471812482
